Key	Type	Desc	English	Français
Items/IronMiningPickDesc	Text		A strong tool, excellent for breaking down harder walls.	Un outil puissant, excellent pour abattre des murs plus durs.
Items/IronOre	Text		Iron Ore	Minerai de fer
Items/IronOreBoulder	Text		Iron Ore Boulder	Rocher de minerai de fer
Items/IronOreDesc	Text		Commonly found in stone walls.	Communément trouvé dans les murs en pierre.
Items/IronPantsArmor	Text		Iron Pants	Pantalon en fer
Items/IronPantsArmorDesc	Text		You've got knees of steel!	Vous avez des genoux d'acier!
Items/IronShield	Text		Iron Shield	Bouclier de fer
Items/IronShieldDesc	Text		A heraldic shield offering significant protection from attacks.	Bouclier héraldique offrant une protection importante contre les attaques.
Items/IronShovel	Text		Iron Shovel	Pelle en fer
Items/IronShovelDesc	Text		A strong shovel, excellent for digging up ground.	Une pelle solide, excellente pour creuser le sol.
Items/IronSledge	Text		Iron Sledge Hammer	Marteau de forge en fer
Items/IronSledgeDesc	Text		A strong weapon for smashing foes and walls.	Une arme puissante pour frapper les ennemis et les murs.
Items/IronSword	Text		Iron Sword	Épée en fer
Items/IronSwordDesc	Text		A strong weapon for slaying foes.	Une arme puissante pour tuer les ennemis.
Items/IronWorkBench	Text		Iron Workbench	Établi en fer
Items/IronWorkBenchDesc	Text		Essential workbench for survival in the underground.	Établi essentiel pour la survie dans le métro.
Items/IvyBreastArmor	Text		Ivy's Thorn Harness	Harnais d'épines d'Ivy
Items/IvyBreastArmorDesc	Text		This organic breastplate armor is crested with thorns, allowing for stronger critical hits.	Cette cuirasse organique est ornée d'épines, permettant des coups critiques plus puissants.
Items/IvyChest	Text		Ivy's Chest	Coffre d'Ivy
Items/IvyChestDesc	Text		A slime-covered chest reminiscent of the Poisonous Mass.	Un coffre couvert de bave rappelant la masse empoisonnée.
Items/IvyPantsArmor	Text		Ivy's Pants	Pantalon d'Ivy
Items/IvyPantsArmorDesc	Text		Lower body armor naturally grown in the underground jungle, featuring thorned kneecaps.	Armure du bas du corps naturellement cultivée dans la jungle souterraine, avec des rotules épineuses.
Items/IvyRing	Text		Ivy's Ring	L'anneau d'Ivy
Items/IvyRingDesc	Text		An organic ring grown from slime covered thorns. 	Un anneau organique issu d'épines recouvertes de bave.
Items/IvyTrophy	Text		Ivy Figurine	Figurine d'Ivy
Items/IvyTrophyDesc	Text		A lifelike representation of Ivy the Poisonous Mass.	Une représentation réaliste d'Ivy, la masse de poison.
Items/JellyFish	Text		Gem-Jellyfish	Méduse-gemme
Items/JellyFishDesc	Text		A glowing kind of jellyfish that inherited ancient energy.	Une sorte de méduse lumineuse qui a hérité d'une énergie ancienne.
Items/JellyfishDestructable	Text		Beached Jelly	Gelée de plage
Items/JellyfishDestructableDesc	Text		A gelatinous creature containing goods from the sea.	Une créature gélatineuse contenant des marchandises de la mer.
Items/JewelryWorkBench	Text		Jewelry Workbench	Établi de bijoux
Items/JewelryWorkBenchDesc	Text		Workbench for creating rings and necklaces.	Établi pour créer des bagues et des colliers.
Items/JingleJamCookie	Text		Jingle Jam Cookie	Biscuit Jingle Jam
Items/JingleJamCookieDesc	Text		A special gift for participating in the Jingle Jam charity event.	Un cadeau spécial pour avoir participé à l'événement caritatif Jingle Jam.
Items/JuteBag	Text		Belt Pocket	Pochette de ceinture
Items/JuteBagDesc	Text		A simple clip on belt pocket, made from smoothened bark.	Une pochette de ceinture simple à clipser, fabriquée en écorce lisse.
Items/KeenPotion	Text		Keen Potion	Potion vive
Items/KeenPotionDesc	Text		A cold elixir that focuses your senses and aim.	Un élixir froid qui concentre vos sens et votre objectif.
Items/KelpDumpling	Text		Kelp Dumpling	Boulettes d'algues
Items/KelpDumplingDesc	Text		A soft, warm dumpling that smells pretty... funny. You don't really want to know where that one came from.	Une boulette douce et chaude qui sent plutôt... bizarre. Vous ne voulez pas vraiment savoir d'où elle vient.
Items/KelpTree	Text		Kelp Tree	Arbre d'algue
Items/KelpTreeDesc	Text		It's technically not a tree but a giant kelp with a double-helix coral as a trunk.	Ce n'est techniquement pas un arbre mais une algue géant avec un corail à double hélice comme tronc.
Items/KeyCraftingTable	Text		Key Casting Table	Établi de moulage des clés
Items/KeyCraftingTableDesc	Text		A workbench with changeable casting plates to create all kinds of different keys.	Un établi avec des plaques de moulage interchangeables pour créer toutes sortes de clés différentes.
Items/Kiln1	Text		Broken Clay Kiln	Four à argile cassé
Items/Kiln1Desc	Text		Having seen many years of use this old kiln is beyond repair. 	Ayant vu de nombreuses années d'utilisation, ce vieux four est irréparable.
Items/Kiln2	Text		Clay Firing Bucket	Seau de cuisson en argile
Items/Kiln2Desc	Text		A simple gadget that was used to burn clay and make it harder.	Un gadget simple qui servait à brûler l'argile et à la rendre plus dure.
Items/KingSlimeChest	Text		King Slime's Chest	Coffre du roi Slime
Items/KingSlimeChestDesc	Text		A slime-covered chest with golden additions reminiscent of the King Slime.	Un coffre recouvert de slime avec des ajouts dorés rappelant le King Slime.
Items/KingSlimeCrown	Text		King Slime Crown	Couronne de Roi Slime
Items/KingSlimeCrownDesc	Text		A rare headpiece that crowns you as king of all slimes. You feel very royal wearing it.	Un casque rare qui vous couronne comme le roi de tous les slimes. Vous vous sentez très royal en le portant.
Items/KingSlimeSummoningItem	Text		Crown Summoning Idol	Idole d'invocation de la Couronne
Items/KingSlimeSummoningItemDesc	Text		A crystal idol that feels out of this world. Consumed upon placing it on any Giant Slime summoning rune.	Une idole de cristal qui se sent hors de ce monde. Consomme en le plaçant sur n'importe quelle rune d'invocation Giant Slime.
Items/KingSlimeTrophy	Text		King Slime Figurine	Figurine Roi Slime
Items/KingSlimeTrophyDesc	Text		A lifelike representation of the King Slime.	Une représentation réaliste du Roi Slime.
Items/KingfishScale	Text		Kingfish Scale	Écaille de martin-pêcheur
Items/KingfishScaleDesc	Text		This beautiful scale seems to belong to a truly extraordinary fish.	Cette belle écaille semble appartenir à un poisson vraiment extraordinaire.
Items/Lamp	Text		Lamp	Lampe
Items/LampDesc	Text		Lights up when powered with electricity.	S'allume lorsqu'il est alimenté en électricité.
Items/LandKelp	Text		Land Kelp	Algue terrestre
Items/LandKelpDesc	Text		A type of kelp that can grow outside of water.	Un type d'Algue qui peut pousser hors de l'eau.
Items/Lantern	Text		Lantern	Lanterne
Items/LanternDesc	Text		A small, useful light that leaves your main hand free.	Une petite lumière utile qui laisse votre main principale libre.
Items/LargeAlienTechDestructible	Text		Large Alien Tech Destructible	Grande caisse technologique d'alien destructible
Items/LargeAncientDestructible	Text		Large Ancient Crate	Grande caisse ancienne
Items/LargeBomb	Text		Large Bomb	Grosse bombe
Items/LargeBombDesc	Text		A very strong explosive for massive destruction.	Un explosif très puissant pour une destruction massive.
Items/LargeCityDestructible	Text		Large Metropolis Crate	Grande caisse Metropolis
Items/LargeCrystalDestructible	Text		Large Sun Crystal	Grand cristal solaire
Items/LargeDesertDestructible	Text		Large Desert Flower Vessel	Grand vase à fleurs du désert
Items/LargeDesertTempleDestructible	Text		Large Temple Crate	Grande caisse du Temple
Items/LargeJellyfishDestructable	Text		Large Beached Jelly	Grande méduse de plage
Items/LargeMoldDestructible	Text		Large Mold Vessel	Grande caisse moisie
Items/LargeShinyGlimmeringObject	Text		Large Shiny Glimmering Object	Grand objet scintillant brillant
Items/LargeShinyGlimmeringObjectDesc	Text		A crystalline, egg-shaped object. It will catch your eye even from large distances.	Un objet cristallin en forme d'oeuf. Il attirera votre attention même à grande distance.
Items/LargeTempleRug	Text		Large Temple Decor Rug	Grand tapis décor de temple
Items/LargeTempleRugDesc	Text		A large, ancient rug with a very detailed design woven into it. It must once have been an expensive item and a sign of prosperity.	Un grand tapis ancien avec un design très détaillé tissé dedans. Il devait autrefois être un article coûteux et un signe de prospérité.
Items/LargeWaterCan	Text		Large Watering Can	Grand arrosoir
Items/LargeWaterCanDesc	Text		Used to water seeds and soil. Holds more water than a regular watering can and covers an area of 2x2 tiles.	Utilisé pour arroser les graines et le sol. Contient plus d'eau qu'un arrosoir ordinaire et couvre une surface de carreaux 2x2.
Items/Larva	Text		Larva	Larve
Items/LarvaBBQ	Text		Roast Firepit	Foyer à rôtir
Items/LarvaBBQDesc	Text		Part fireplace, part barbecue it is a great place to huddle together and enjoy some burned pieces of larva meat.	En partie cheminée, en partie barbecue, c'est un endroit idéal pour se blottir et déguster des morceaux de viande de larve brûlés.
Items/LarvaBossCrystal	Text		Ghorm's Horn	Corne de Ghorm
Items/LarvaBossCrystalDesc	Text		A pointy gemstone that let a larva grow way beyond its maximum size.	Une pierre précieuse pointue qui permet à une larve de se développer bien au-delà de sa taille maximale.
Items/LarvaBossScanner	Text		Ghorm the Devourer Scanner	Scanneur de Ghorm le Dévoreur
Items/LarvaBossScannerDesc	Text		Scans the world for Ghorm the Devourer. Consumed on successful scan.	Scanne le monde à la recherche de Ghorm le Dévoreur. Consommé en cas d'analyse réussie.
Items/LarvaBossSummoningItem	Text		Ghorm Summoning Idol	Idole d'invocation de Ghorm
Items/LarvaBossSummoningItemDesc	Text		Crystal idol to reawaken Ghorm the Devourer. Consumed upon placing it on Ghorm's summoning rune.	Idole de cristal pour réveiller Ghorm le Dévoreur. Consomme en le plaçant sur la rune d'invocation de Ghorm.
Items/LarvaBreastArmor	Text		Larva Chest	Coffre de larve
Items/LarvaBreastArmorDesc	Text		Don't be anything else. Be grub.	Ne soyez rien d'autre. Soyez grub.
Items/LarvaHelm	Text		Larva Helm	Heaume de larve
Items/LarvaHelmDesc	Text		No need for fancy hats. Just grub.	Pas besoin de chapeaux fantaisie. Juste grignoter.
Items/LarvaMeat	Text		Larva Meat	Viande de larve
Items/LarvaMeatDesc	Text		Only true survivors eat it raw. 	Seuls les vrais survivants le mangent cru.
Items/LarvaRing	Text		Larva Ring	Anneau de larve
Items/LarvaRingDesc	Text		A living ring, not for the squirmish to wear.	Une bague vivante, pas pour les maladroits à porter.
Items/LarvaSkewer	Text		Larva Skewer	Brochette de larves
Items/LarvaSkewerDesc	Text		A pretty cruel way of stacking up meat for later use.	Une façon assez cruelle d'empiler de la viande pour une utilisation ultérieure.
Items/LarvaSpikeClub	Text		Larva Spike Club	Club de la Larve Piquante
Items/LarvaSpikeClubDesc	Text		A bludgeoning weapon that is hard to withstand.	Une arme contondante difficile à supporter.
Items/LarvaTrophy	Text		Larva Figurine	Figurine Larve
Items/LarvaTrophyDesc	Text		A lifelike representation of a Larva.	Une représentation réaliste d'une larve.
Items/LarvaskinRug	Text		Larvaskin Rug	Tapis en peau de larve
Items/LarvaskinRugDesc	Text		This gross rug doubles down as a trophy for the hunted larva that provided their skin.	Ce tapis grossier sert également de trophée pour la larve chassée qui a fourni sa peau.
Items/LarvaskinRugRed	Text		Hive Larvaskin Rug	Tapis en peau de larves de la ruche
Items/LarvaskinRugRedDesc	Text		This gross rug doubles down as a trophy for the hunted hive larva that provided their skin.	Ce tapis grossier sert également de trophée pour la larve de la ruche chassée qui a fourni sa peau.
Items/LarvaskinTent	Text		Larvaskin Tent	Tente en peau de larve
Items/LarvaskinTentDesc	Text		This simple type of housing must have used many skins of larva. There are patches of other creatures thrown in too.	Ce type de logement simple a dû utiliser de nombreuses peaux de larve. Il y a aussi des patchs d'autres créatures.
Items/LaserDrillTool	Text		Obliteration Ray	Rayon d'oblitération
Items/LaserDrillToolDesc	Text		A high energy mining tool that is at the constant limit of bursting. The barely contained laser melts almost anything in its path.	Un outil minier à haute énergie qui est constamment à la limite de l'explosion. Le laser à peine contenu fait fondre presque tout ce qui se trouve sur son passage.
Items/LavaAxe	Text		Lava Battle Axe	Hache de bataille de lave
Items/LavaAxeDesc	Text		A smoldering, heavy weapon that looks like it was just taken out of the forge.	Une arme lourde et fumante qui semble sortir tout juste de la forge.
Items/LavaBreastArmor	Text		Magma Torso Armor	Armure de torse de magma
Items/LavaBreastArmorDesc	Text		This fiery armor is almost too hot to handle but becomes well-tempered when worn.	Cette armure ardente est presque trop chaude pour être manipulée mais devient bien tempérée lorsqu'elle est portée.
Items/LavaButterfly	Text		Lava Butterfly	Papillon de lave
Items/LavaButterflyTrophy	Text		Lava Butterfly Figurine	Figurine Papillon de lave
Items/LavaButterflyTrophyDesc	Text		A lifelike representation of a Lava Butterfly	Une représentation réaliste d'un papillon de lave
Items/LavaHelm	Text		Magma Horn Armor	Armure de corne de magma
Items/LavaHelmDesc	Text		A pretty awesome piece of equipment that makes you look like the harbinger of doom.	Un équipement assez impressionnant qui vous fait ressembler à un signe avant-coureur de malheur.
Items/LavaPantsArmor	Text		Magma Shin Armor	Armure Magma Shin
Items/LavaPantsArmorDesc	Text		A melting leg armor made from liquid stone, giving hot legs a whole new definition.	Une armure de jambe fondante à base de pierre liquide, donnant aux jambes chaudes une toute nouvelle définition.
Items/LavaPost1	Text		Broken Quarry Timber	Bois de carrière cassé
Items/LavaPost1Desc	Text		One half of a broken wooden construction that seemed to have once held something in place.	La moitié d'une construction en bois cassée qui semblait avoir autrefois maintenu quelque chose en place.
Items/LavaPost2	Text		Large Quarry Timber	Grand bois de carrière
Items/LavaPost2Desc	Text		A wooden construction used to keep ore and rocks above a fire. A surge in temperatures rendered it unusable.	Une construction en bois utilisée pour garder le minerai et les roches au-dessus d'un feu. Une flambée des températures l'a rendu inutilisable.
Items/LavaRock	Text		Lava Rock	Roche de lave
Items/LavaRockDesc	Text		You're not sure why you did this...but at least you now have a very hot rock.	Vous ne savez pas pourquoi vous avez fait cela... mais au moins vous avez maintenant un rocher très chaud.
Items/LavaShield	Text		Scorching Aegis	Égide brûlante
Items/LavaShieldDesc	Text		The crust of molten rock, formed to be wielded like a shield.	La croûte de roche en fusion, formée pour être brandie comme un bouclier.
Items/LavaSlime	Text		Magma Slime	Slime de magma
Items/LavaSlimeBlob	Text		Lava Slime	Slime lave
Items/LavaSlimeBossChest	Text		Igneous' Chest	Coffre d'Igneous
Items/LavaSlimeBossChestDesc	Text		A magma-covered chest reminiscent of the Molten Mass.	Un coffre recouvert de magma rappelant la Masse en fusion.
Items/LavaSlimeBossScanner	Text		Igneous the Molten Mass Scanner	Scanneur d'Igneous, la masse en fusion
Items/LavaSlimeBossScannerDesc	Text		Scans the world for Igneous the Molten Mass. Consumed on successful scan.	Scanne le monde à la recherche d'Igneous, la masse en fusion. Consommé en cas de scan réussi.
Items/LavaSlimeDesc	Text		A dark blob of flaming slime. Can be further processed.	Une goutte sombre de vase enflammée. Peut être traité ultérieurement.
Items/LavaSlimeTrophy	Text		Lava Slime Figurine	Figurine d'un Slime de lave
Items/LavaSlimeTrophyDesc	Text		A lifelike representation of a Lava Slime.	Une représentation réaliste d'un Slilme de lave.
Items/LavaStalagmite	Text		Lava Stalagmite	Stalagmite de lave
Items/LavaStalagmiteDesc	Text		A stone pillar formed over thousands of years through dripping magma.	Pilier de pierre formé pendant des milliers d'années par l'écoulement du magma.
Items/LavaWoodenDestructible	Text		Charred Crate	Caisse carbonisée
Items/LavaWoodenDestructibleDesc	Text		This wooden crate has been blackened by a scorching environment.	Cette caisse en bois a été noircie par un environnement torride.
Items/LeafFossil	Text		Leaf Fossil	Feuille fossilisée
Items/LeafFossilDesc	Text		Proof of a once flourishing environment.	Preuve d'un environnement autrefois florissant.
Items/Leash	Text		Leash	Laisse
Items/LeashDesc	Text		This long leash can be attached to any cattle so that they can get hurried along. Quite helpful when there are enemies on the hunt for some tender meat.	Cette longue laisse peut être attachée à n'importe quel bétail pour le faire avancer. C'est très utile lorsque des ennemis sont à la recherche de viande tendre.
Items/LeatherFrame	Text		Clamping Frame	Cadre de serrage
Items/LeatherFrameDesc	Text		This wooden frame has been used to stretch larva skin and manufacture it into leather.	Ce cadre en bois a été utilisé pour étirer la peau de larve et la transformer en cuir.
Items/LeatherFrameSmall	Text		Small Clamping Frame	Petit cadre de serrage
Items/LeatherFrameSmallDesc	Text		This small wooden frame made use of even the tiniest larva to turn its skin into leather.	Ce petit cadre en bois utilisait même la plus petite larve pour transformer sa peau en cuir.
Items/LegendaryBow	Text		Phantom Spark	Étincelle fantôme
Items/LegendaryBowDesc	Text		A legendary, masterfully crafted bow that shoots pure energy projectiles. Sometimes those pierce the veil of time and space, calling upon the spirits of the past.	Un arc légendaire, magistralement conçu, qui tire des projectiles d'énergie pure. Parfois, ceux-ci percent le voile du temps et de l'espace, faisant appel aux esprits du passé.
Items/LegendaryBowParchment	Text		Glyph Parchment	Parchemin de glyphe
Items/LegendaryBowParchmentDesc	Text		A unusually well preserved piece of ancient paper. There are glyphs and images on it that show how to forge a powerful ancient weapon.	Un morceau de papier ancien exceptionnellement bien conservé. Il y a des glyphes et des images dessus qui montrent comment forger une puissante arme ancienne.
Items/LegendaryBowPart1	Text		Channeling Gemstone	Pierre précieuse de canalisation
Items/LegendaryBowPart1Desc	Text		A specially carved ancient gemstone that focusses energy at it's tip. It seems to be the center piece of an ancient powerful weapon.	Une pierre précieuse ancienne spécialement sculptée qui concentre l'énergie à sa pointe. Il semble être la pièce maîtresse d'une ancienne arme puissante.
Items/LegendaryBowPart2	Text		Fractured Limbs	Membres fracturés
Items/LegendaryBowPart2Desc	Text		Golden pieces that once seemed to be fused together to endure great pressure. Something inherently powerful must have broken them apart.	Des pièces dorées qui semblaient autrefois fusionnées pour supporter une grande pression. Quelque chose d'intrinsèquement puissant a dû les séparer.
Items/LegendaryBowPart3	Text		Energy String	Chaîne d'énergie
Items/LegendaryBowPart3Desc	Text		A fine filament that has microscopic pieces of ancient gemstones woven into it. Its existence is proof of the absolute mastery over materials by whoever created it.	Un fin filament dans lequel sont tissés des morceaux microscopiques de pierres précieuses anciennes. Son existence est la preuve de la maîtrise absolue des matériaux par celui qui l'a créé.
Items/LegendaryMiningPick	Text		Soul Seeker	Chercheuse d'Âmes
Items/LegendaryMiningPickDesc	Text		A successor prototype to the Ancient Mining Pick that had been left unfinished before. In the fires of the Ancient Forge it was now finally completed.	Un prototype amélioré de la Pioche antique qui avait été laissé inachevé. Dans les feux de l'ancienne forge, il a enfin été terminé.
Items/LegendaryMiningPickParchment	Text		Cipher Parchment	Parchemin chiffré
Items/LegendaryMiningPickParchmentDesc	Text		An unusually well preserved scroll made from golden paper. Among the blue edged runes are drawings of an ancient forge resembling the face of a caveling.	Un parchemin exceptionnellement bien conservé en papier doré. Parmi les runes aux bords bleus se trouvent des dessins d'une ancienne forge ressemblant au visage d'un cavelin.
Items/LegendarySword	Text		Rune Song	Chant runique
Items/LegendarySwordBlade	Text		Chipped Blade	Lame ébréchée
Items/LegendarySwordBladeDesc	Text		A piece of an ancient weapon. Its glass-like appearance makes it look fragile but it's harder than any material you've seen.	Un morceau d'une arme ancienne. Son aspect semblable à du verre lui donne un aspect fragile, mais il est plus dur que n'importe quel matériau que vous avez vu.
Items/LegendarySwordDesc	Text		A legendary sword that hums when swung through the air. Its durability is a sign of extraordinary craftsmanship and it has the power to defeat enemies in one strike.	Une épée légendaire qui bourdonne lorsqu'elle est balancée dans les airs. Sa durabilité est le signe d'un savoir-faire extraordinaire et il a le pouvoir de vaincre les ennemis en un seul coup.
Items/LegendarySwordGemstone	Text		Clear Gemstone	Pierre précieuse claire
Items/LegendarySwordGemstoneDesc	Text		A piece of an ancient weapon. Even though it is of the same material as ancient gemstones, this one feels unnaturally clear and infused with a strange energy.	Un morceau d'une arme ancienne. Même s'il est du même matériau que les pierres précieuses anciennes, celui-ci semble anormalement clair et imprégné d'une énergie étrange.
Items/LegendarySwordParchment	Text		Rune Parchment	Parchemin runique
Items/LegendarySwordParchmentDesc	Text		A unusually well preserved piece of ancient paper. The runes are impossible to decipher but small symbols hint at it being the recipe for a strange weapon.	Un morceau de papier ancien exceptionnellement bien conservé. Les runes sont impossibles à déchiffrer mais de petits symboles suggèrent qu'il s'agit de la recette d'une arme étrange.
Items/Lever	Text		Lever	Levier
Items/LeverDesc	Text		Generates a low amount of electricity that can be turned on and off.	Génère une faible quantité d'électricité qui peut être allumée et éteinte.
Items/LockedCopperChest	Text		Locked Copper Chest	Coffre en cuivre verrouillé
Items/LockedCopperChestDesc	Text		A crude chest made from copper with heavy chains strung around it. It could be opened with the right key.	Un coffre rudimentaire en cuivre avec de lourdes chaînes enfilées autour. Il pourrait être ouvert avec la bonne clé.
Items/LockedGalaxiteChest	Text		Locked Galaxite Chest	Coffre en Galaxite verrouillé
Items/LockedGalaxiteChestDesc	Text		An indestructible chest made from galaxite with heavy chains strung around it. It could be opened with the right key.	Un coffre indestructible fait de galaxite avec de lourdes chaînes enfilées autour. Il pourrait être ouvert avec la bonne clé.
Items/LockedIronChest	Text		Locked Iron Chest	Coffre en fer verrouillé
Items/LockedIronChestDesc	Text		An old chest made from iron with heavy chains strung around it. It could be opened with the right key.	Un vieux coffre en fer entouré de lourdes chaînes. Il pourrait être ouvert avec la bonne clé.
Items/LockedKingChest	Text		Locked Desert King Chest	Coffre verrouillé du Roi du désert
Items/LockedOctarineChest	Text		Locked Octarine Chest	Coffre en Octarine verrouillé
Items/LockedOctarineChestDesc	Text		A clunky chest made from octarine with heavy chains strung around it. It could be opened with the right key.	Un coffre maladroit en octarine avec de lourdes chaînes enfilées autour de lui. Il pourrait être ouvert avec la bonne clé.
Items/LockedPrinceChest	Text		Locked Desert Prince Chest	Coffre verrouillé du Prince du désert
Items/LockedQueenChest	Text		Locked Desert Queen Chest	Coffre verrouillé du Reine du désert
Items/LockedScarletChest	Text		Locked Scarlet Chest	Coffre en Scarlet verrouillé
Items/LockedScarletChestDesc	Text		A sturdy chest made from scarlet with heavy chains strung around it. It could be opened with the right key.	Un coffre robuste en Scarlet avec de lourdes chaînes enfilées autour. Il pourrait être ouvert avec la bonne clé.
Items/LockedSolariteChest	Text		Locked Solarite Chest	Coffre en solarite verrouillé
Items/LockedSolariteChestDesc	Text		A shimmering chest made from solarite with heavy chains strung around it. It could be opened with the right key.	Un coffre scintillant en solarite, entouré de lourdes chaînes. On peut l'ouvrir avec la bonne clé.
Items/LogicCircuit	Text		Logic Circuit	Circuit logique
Items/LogicCircuitDesc	Text		Electricity can move through the circuit when it receives electricity on exactly 2 out of 3 inputs.	L'électricité peut se déplacer dans le circuit lorsqu'elle reçoit de l'électricité sur exactement 2 entrées sur 3.
Items/LoomSpinningWheel	Text		Loom	Métier à tisser
Items/LoomSpinningWheelDesc	Text		This archaic device makes it possible to turn fiber into beautiful clothing and costumes.	Ce dispositif archaïque permet de transformer la fibre en beaux vêtements et costumes.
Items/LooseFlooring	Text	"A decorative flooring item like bricks or stone plates, they can change design a bit depending on what the player color them hence why we don't call it just ""stone plates"" or so"	Loose Flooring	Plancher en vrac
Items/LooseFlooringDesc	Text		A collection of workable groundcover made from clay. A true hobbyist might turn them into different shapes and colors.	Une collection de couvre-sol réalisables à base d'argile. Un véritable amateur pourrait les transformer en différentes formes et couleurs.
Items/LostPaddle	Text		Lost Paddle	Pagaie perdue
Items/LostPaddleDesc	Text		Somewhere someone must paddle around in circles.	Quelque part, quelqu'un doit pagayer en rond.
Items/LucentOakTree	Text		Lucent Oak	Chêne lucide
Items/LucentOakTreeDesc	Text		What once seemed to have been a normal tree got permeated by crystals, turning it into a living work of art.	Ce qui semblait être un arbre normal a été imprégné de cristaux, le transformant en une œuvre d'art vivante.
Items/LuckyRing	Text		Lucky Ring	Anneau porte-bonheur
Items/LuckyRingDesc	Text		A cheaply made ring from a vending machine. If you believe hard enough you may feel more lucky.	Une bague fabriquée à moindre coût dans un distributeur automatique. Si vous y croyez suffisamment, vous vous sentirez peut-être plus chanceux.
Items/LumpOfCoal	Text		Lump of Coal	Morceau de charbon
Items/LumpOfCoalDesc	Text		A dusty piece of coal that leaves your hands black and your conscience tainted. Have you perhaps been naughty?	Un morceau de charbon poussiéreux qui laisse vos mains noires et votre conscience entachée. Avez-vous peut-être été méchant?
Items/Lunacorn	Text		Lunacorn	Lunacorn
Items/LunacornDesc	Text		A mealy, colorful crop that increases your toughness.	Une culture farineuse et colorée qui augmente votre résistance.
Items/LunacornRare	Text		Golden Lunacorn	Lunacorn d'or
Items/LunacornRareDesc	Text		A very rare variant of the common lunacorn.	Une variante très rare de la lunacorne commune.
Items/LunacornSeed	Text		Lunacorn Seed	Graine de lunacorn
Items/LunacornSeedDesc	Text		Grows into an inspiriting crop when planted. Only grows in crystal ground.	Se transforme en une culture inspirante lorsqu'elle est plantée. Ne pousse que dans un sol cristallin.
Items/LuxuriousHandmirror	Text		Luxurious Handmirror	Miroir à main luxueux
Items/LuxuriousHandmirrorDesc	Text		A hand-held mirror in great condition. Clearly someone had a sense of beauty.	Un miroir à main en très bon état. De toute évidence, quelqu'un avait le sens de la beauté.
Items/MagicMirror	Text		Magic Mirror	Miroir magique
Items/MagicMirrorDesc	Text		This mysterious piece of furniture has been enhanced in strange ways. Looking into it makes it possible to change your appearance.	Ce meuble mystérieux a été mis en valeur de façon étrange. Y jeter un coup d'œil permet de changer d'apparence.
Items/MagneticRing	Text		Magnetic Ring	Anneau magnétique
Items/MagneticRingDesc	Text		A strange ring that pulls in loot around you in a higher radius. Magnets, how do they work?	Un anneau étrange qui attire les objet autour de vous dans un rayon plus élevé. Les aimants, comment ça marche ?
Items/MalugazTrophy	Text		Malugaz Figurine	Figurine de Malugaz
Items/MalugazTrophyDesc	Text		A lifelike representation of Malugaz the Corrupted.	Une représentation réaliste de Malugaz le Corrompu.
Items/Mannequin	Text		Mannequin	Mannequin
Items/MannequinDesc	Text		A wooden figure that's great for showcasing gear and feeling less alone.	Une figurine en bois idéale pour mettre en valeur son équipement et se sentir moins seule.
Items/MeadowBush	Text		Meadow Bush	Buisson de prairie
Items/MeadowBushDesc	Text		A golden-colored patch of meadow grass to use as a decorative.	Une parcelle d'herbe de prairie de couleur dorée à utiliser comme décoration.
Items/MeadowTallGrass	Text		Tall Meadow Grass	Hautes herbes des prairies
Items/MeadowTallGrassDesc	Text		A large golden-colored patch of tall meadow grass to use as a decorative.	Une grande parcelle d'Hautes herbes des prairies de couleur dorée à utiliser comme décoration.
Items/MeadowTree	Text		Meadow Tree	Arbre de prairie
Items/MeadowTreeDesc	Text		The tranquility of the meadow produced a Lush Tree variant that grows golden-colored leafs. Plant it back into the ground to decorate your home.	La tranquillité de la prairie a donné naissance à une variante de l'arbre qui produit des feuilles de couleur dorée. Plantez-le en pleine terre pour décorer votre maison.
Items/Meat	Text		Marbled Meat	Viande marbrée
Items/MeatDesc	Text		A thick slab of meat, waiting to be simmered and seasoned.	Une épaisse tranche de viande qui attend d'être mijotée et assaisonnée.
Items/MechanicalArm	Text		Mechanical Arm	Bras mécanique
Items/MechanicalArmDesc	Text		An overgrown piece of ancient technology. The joints are stiff but it must have performed remarkable tasks in the past.	Un morceau de technologie ancienne envahi par la végétation. Les articulations sont raides mais il a dû effectuer des tâches remarquables dans le passé.
Items/MechanicalPart	Text		Mechanical Part	Partie mécanique
Items/MechanicalPartDesc	Text		A piece of ancient machinery.	Une pièce de machinerie ancienne.
Items/MeltingCrystalRing	Text		Melting Crystal Ring	Anneau de cristal de fusion
Items/MeltingCrystalRingDesc	Text		A gooey ring dripping slippery slime on the floor.	Un anneau gluant dégoulinant de bave glissante sur le sol.
Items/MetalGrateBridge	Text		Metal Grate	Grille en métal
Items/MetalGrateBridgeDesc	Text		A metal bridge that was used to cross lava in the molten quarry.	Un pont métallique qui a été utilisé pour traverser la lave dans la carrière en fusion.
Items/MildewLeaf	Text		Mildew Leaf	Feuille de mildiou
Items/MildewLeafDesc	Text		A leaf with white mold spots on it, apart from that it looks unscathed.	Une feuille avec des taches de moisissures blanches dessus, à part ça elle a l'air indemne.
Items/Milk	Text		Meadow Milk	Lait de prairie
Items/MilkDesc	Text		A bottle of milk with a slight vanilla aroma and an earthy aftertaste.	Une bouteille de lait avec un léger arôme de vanille et un arrière-goût de terre.
Items/Mimite	Text		Mimite	Mimite
Items/MimiteTrophy	Text		Mimite Figurine	Figurine de mimite
